Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:41:36  15.0   0.0  35.2  49.8   0.0    5   1918   4456   0.00E
14:41:36  17.5   0.0  32.6  49.9   0.0    5   2074   4758   0.00E
14:41:37  16.0   0.0  34.1  49.9   0.0    5   1832   4560   0.00E
14:41:37  17.3   0.0  33.2  49.5   0.0    5   2648   5592   0.00E
14:41:38  18.5   0.0  31.8  49.8   0.0    5   1750   5046   0.00E
14:41:38  17.8   0.0  32.8  49.5   0.0    5   2150   6260   0.00E
14:41:39  18.1   0.0  31.9  50.0   0.0    5   1796   6674   0.00E
14:41:39  17.5   0.0  32.5  49.8   0.2    5   1940   5380   0.00E
14:41:40  15.5   0.0  34.6  49.9   0.0    5   1708   5748   0.00E
14:41:40  18.3   0.0  31.8  49.9   0.0    5   1980   4830   0.00E
14:41:41  17.8   0.0  32.5  49.8   0.0    5   1692   4224   0.00E
14:41:41  17.0   0.0  33.0  50.0   0.0    5   1906   4066   0.00E
14:41:42  15.5   0.0  34.6  49.9   0.0    5   1720   4386   0.00E
14:41:42  18.1   0.0  31.9  49.7   0.3    5   2226   4504   0.00E
14:41:43  16.0   0.0  34.2  49.9   0.0    5   1740   4070   0.00E
14:41:43  17.5   0.0  32.6  49.9   0.0    5   1836   3972   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:41:44  18.8   0.0  31.5  49.8   0.0    5   1708   5430   0.00E
14:41:44  15.5   0.0  34.5  49.8   0.2    5   1858   4998   0.00E
14:41:45  17.0   0.0  33.2  49.8   0.0    5   1730   5308   0.00E
14:41:45  15.5   0.0  34.8  49.6   0.0    5   2088   4682   0.00E
14:41:46  17.7   0.0  32.4  49.9   0.0    5   1678   3804   0.00E
14:41:46  19.6   0.0  30.4  50.0   0.0    5   1958   4294   0.00E
14:41:47  18.5   0.0  31.8  49.8   0.0    5   1694   3876   0.00E
14:41:47  17.0   0.0  33.0  50.0   0.0    5   1900   3978   0.00E
14:41:48  17.0   0.0  33.1  49.9   0.0    5   1730   3724   0.00E
14:41:48  16.5   0.0  33.8  49.8   0.0    6   1928   4602   0.00E
14:41:49  17.0   0.0  33.2  49.9   0.0    5   1802   4588   0.00E
14:41:49  16.6   0.0  33.4  50.0   0.0    5   2018   4208   0.00E
14:41:50  16.3   0.0  33.8  49.6   0.3    5   1778   4398   0.00E
14:41:50  17.2   0.0  33.4  49.4   0.0    5   1942   5730   0.00E
14:41:51  18.5   0.0  31.6  49.9   0.0    5   1664   4268   0.00E
14:41:51  15.2   0.0  34.8  50.0   0.0    5   1970   3984   0.00E
14:41:52  17.3   0.0  32.8  49.9   0.0    5   1786   5110   0.00E
14:41:52  20.8   0.0  34.1  45.1   0.0    5   2158   5958   0.00E
14:41:53  17.0   0.0  33.1  49.9   0.0    5   1714   4464   0.00E
14:41:53  16.5   0.0  33.6  49.9   0.0    5   1974   4512   0.00E
14:41:54  16.1   0.0  34.4  49.5   0.0    5   2030   4568   0.00E
14:41:54  16.8   0.0  33.8  49.5   0.0    5   1868   4916   0.00E
14:41:55  17.5   0.0  32.5  49.8   0.2    5   1688   4322   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:41:55  16.8   0.0  33.4  49.7   0.0    5   1950   4528   0.00E
14:41:56  17.5   0.0  32.6  49.9   0.0    5   1686   4148   0.00E
14:41:56  16.5   0.0  33.8  49.8   0.0    5   1962   4944   0.00E
14:41:57  16.0   0.0  34.1  49.9   0.0    5   1792   4098   0.00E
14:41:57  17.3   0.0  32.9  49.7   0.0    5   1978   4630   0.00E
14:41:58  16.7   0.0  33.4  49.9   0.0    5   1730   3834   0.00E
14:41:58  17.3   0.0  32.8  49.9   0.0    5   2018   4390   0.00E
14:41:59  15.5   0.0  34.5  49.8   0.2    5   1840   3544   0.00E
14:41:59  17.0   0.0  33.1  49.9   0.0    5   1990   3674   0.00E
14:42:00  18.0   0.0  32.1  49.9   0.0    5   1898   3976   0.00E
14:42:00  17.5   0.0  32.8  49.5   0.2    5   2046   3890   0.00E
14:42:01  16.5   0.0  33.5  50.0   0.0    5   1760   4666   0.00E
14:42:01  15.5   0.0  34.6  49.9   0.0    5   2048   4074   0.00E
14:42:02  15.8   0.0  34.2  50.0   0.0    5   1828   4676   0.00E
14:42:02  17.1   0.0  33.9  49.0   0.0    5   2324   4650   0.00E
14:42:03  18.0   0.0  32.2  49.9   0.0    5   1876   4990   0.00E
14:42:03  17.1   0.0  32.9  50.0   0.0    5   1938   5632   0.00E
14:42:04  17.0   0.0  33.2  49.8   0.0    5   1800   4930   0.00E
14:42:04  17.3   0.0  32.8  49.6   0.3    5   2284   5062   0.00E
14:42:05  16.0   0.0  34.1  49.9   0.0    5   1798   4848   0.00E
14:42:05  17.8   0.0  32.3  49.9   0.0    5   2094   5090   0.00E
14:42:06  16.7   0.0  33.4  49.9   0.0    6   1796   5552   0.00E
14:42:06  16.5   0.0  33.6  49.9   0.0    6   2072   5910   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:42:07  18.2   0.0  32.0  49.8   0.0    5   1844   4550   0.00E
14:42:07  17.2   0.0  32.9  49.9   0.0    5   1922   5294   0.00E
14:42:08  19.1   0.0  30.9  50.0   0.0    5   1774   4488   0.00E
14:42:08  20.2   0.0  30.0  49.8   0.0    5   2016   4454   0.00E
